szak neve,link url cime,kép url cime,képzes tipúsa
Fejlett mechatronikai rendszerek szak,https://ms.sapientia.ro/hu/felveteli/mesterkepzes/fejlett-mechatronikai-rendszerek-szak,https://ms.sapientia.ro/content/images/FMR-288776.med.png,Mesterképzés
Növényorvos szak,https://ms.sapientia.ro/hu/felveteli/mesterkepzes/novenyorvos-szak,https://ms.sapientia.ro/content/images/novenyorvos-377849.med.png,Mesterképzés
Számítógépes irányítási rendszerek szak,https://ms.sapientia.ro/hu/felveteli/mesterkepzes/szamitogepes-iranyitasi-rendszerek-szak,https://ms.sapientia.ro/content/images/SZIR-354938.med.png,Mesterképzés
Szoftverfejlesztés szak,https://ms.sapientia.ro/hu/felveteli/mesterkepzes/szoftverfejlesztes-szak,https://ms.sapientia.ro/content/images/SZF-6.med.png,Mesterképzés
Fordító és tolmács szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/fordito-es-tolmacs-szak,https://ms.sapientia.ro/content/images/fordito-132124.med.png,Alapképzés
Kertészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kerteszmernoki-szak,https://ms.sapientia.ro/content/images/kertesz-325670.med.png,Alapképzés
Tájépítészet mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/tajepiteszet-szak,https://ms.sapientia.ro/content/images/tajep-163031.med.png,Alapképzés
Kommunikáció és közkapcsolatok szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kommunikacio-es-kozkapcsolatok-szak,https://ms.sapientia.ro/content/images/komm-341858.med.png,Alapképzés
Közegészségügyi szolgáltatások és politikák szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kozegeszsegugyi-szolgaltatasok-es-politikak-szak,https://ms.sapientia.ro/content/images/kozeg-322323.med.png,Alapképzés
Informatika szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/informatika-szak,https://ms.sapientia.ro/content/images/info-864931.med.png,Alapképzés
Automatika és alkalmazott informatika mérnök szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/automatika-es-alkalmazott-informatika-mernok-szak,https://ms.sapientia.ro/content/images/aut-235976.med.png,Alapképzés
Gépészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/gepeszmernoki-szak,https://ms.sapientia.ro/content/images/gepesz-109518.med.png,Alapképzés
Infokommunikációs hálózatok és rendszerek (Távközlés) mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/infokommunikacios-halozatok-es-rendszerek-tavkozles-szak,https://ms.sapientia.ro/content/images/tavkozles-4.med.png,Alapképzés
Mechatronika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/mechatronika-szak,https://ms.sapientia.ro/content/images/mecha-2-797891.med.png,Alapképzés
Számítástechnika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/szamitastechnika-szak,https://ms.sapientia.ro/content/images/mecha-148797.med.png,Alapképzés
